vendor_name,Trip_Pickup_DateTime,Trip_Dropoff_DateTime,Passenger_Count,Trip_Distance,Start_Lon,Start_Lat,Rate_Code,store_and_forward,End_Lon,End_Lat,Payment_Type,Fare_Amt,surcharge,mta_tax,Tip_Amt,Tolls_Amt,Total_Amt

VTS,2009-09-24 09:00:00,2009-09-24 09:29:00,1,10.23,-73.978967999999995,40.766173000000002,,,-73.872268000000005,40.774529999999999,CASH,26.5,0,,0,4.5700000000000003,31.07
VTS,2009-09-26 13:40:00,2009-09-26 13:43:00,2,0.62,-73.993183000000002,40.727843,,,-73.989653000000004,40.734628000000001,CASH,4.0999999999999996,0,,0,0,4.0999999999999996
VTS,2009-09-26 14:19:00,2009-09-26 14:22:00,2,0.95999999999999996,-73.97748,40.750365000000002,,,-73.981227000000004,40.739615000000001,CASH,4.5,0,,0,0,4.5
VTS,2009-09-07 18:15:00,2009-09-07 18:28:00,1,4.25,-73.947469999999996,40.799334999999999,,,-73.989005000000006,40.756641999999999,CASH,12.1,0,,0,0,12.1
VTS,2009-09-23 17:58:00,2009-09-23 18:05:00,2,0.98999999999999999,-73.990527,40.733853000000003,,,-73.985361999999995,40.724559999999997,CASH,5.2999999999999998,1,,0,0,6.2999999999999998
VTS,2009-09-26 11:59:00,2009-09-26 12:07:00,1,1.78,-74.006361999999996,40.733471999999999,,,-73.991356999999994,40.754668000000002,CASH,7.2999999999999998,0,,0,0,7.2999999999999998
VTS,2009-09-18 12:14:00,2009-09-18 12:25:00,1,2.1600000000000001,-73.974112000000005,40.751558000000003,,,-73.951082999999997,40.771680000000003,Credit,8.5,0,,3,0,11.5
VTS,2009-09-18 11:03:00,2009-09-18 11:19:00,1,3.3799999999999999,-73.984650000000002,40.742626999999999,,,-74.015235000000004,40.711415000000002,Credit,11.699999999999999,0,,2,0,13.699999999999999
VTS,2009-09-27 17:39:00,2009-09-27 17:56:00,1,7.75,-73.786726999999999,40.644483000000001,,,-73.849711999999997,40.689340000000001,CASH,19.300000000000001,0,,0,0,19.300000000000001
VTS,2009-09-25 07:42:00,2009-09-25 08:06:00,2,4.46,-73.900993,40.753991999999997,,,-73.958141999999995,40.760322000000002,CASH,16.100000000000001,0,,0,0,16.100000000000001
VTS,2009-09-26 16:23:00,2009-09-26 16:38:00,2,3.1299999999999999,-73.974682999999999,40.793177999999997,,,-73.994628000000006,40.755826999999996,CASH,11.300000000000001,0,,0,0,11.300000000000001
VTS,2009-09-22 11:27:00,2009-09-22 11:31:00,1,0.68000000000000005,-73.966538,40.76437,,,-73.966151999999994,40.771070000000002,CASH,4.0999999999999996,0,,0,0,4.0999999999999996
VTS,2009-09-22 13:45:00,2009-09-22 14:08:00,1,4.5,-73.982292000000001,40.777042999999999,,,-73.924875,40.745587999999998,CASH,15.300000000000001,0,,0,0,15.300000000000001
VTS,2009-09-27 01:53:00,2009-09-27 02:04:00,1,1.8300000000000001,-73.988118,40.737859999999998,,,-73.978876999999997,40.721027999999997,Credit,8.0999999999999996,0.5,,1,0,9.5999999999999996
VTS,2009-09-22 09:45:00,2009-09-22 09:57:00,1,1.53,-74.008070000000004,40.738892999999997,,,-73.989599999999996,40.747557999999998,CASH,7.7000000000000002,0,,0,0,7.7000000000000002
VTS,2009-09-22 06:40:00,2009-09-22 06:43:00,1,0.76000000000000001,-73.974348000000006,40.747039999999998,,,-73.980332000000004,40.737512000000002,CASH,4.0999999999999996,0,,0,0,4.0999999999999996
VTS,2009-09-18 12:26:00,2009-09-18 12:40:00,5,4.8300000000000001,-73.97072,40.748935000000003,,,-73.966475000000003,40.745536999999999,CASH,14.1,0,,0,0,14.1
VTS,2009-09-26 18:46:00,2009-09-26 19:13:00,2,1.28,-73.977221999999998,40.744393000000002,,,-74.000262000000006,40.732930000000003,CASH,13.699999999999999,0,,0,0,13.699999999999999
